Death_Date,Deaths,Death_Rate
2/1/20,0,0.00
2/2/20,0,0.00
2/3/20,0,0.00
2/4/20,0,0.00
2/5/20,0,0.00
2/6/20,0,0.00
2/7/20,0,0.00
2/8/20,0,0.00
2/9/20,0,0.00
2/10/20,0,0.00
2/11/20,0,0.00
2/12/20,0,0.00
2/13/20,0,0.00
2/14/20,0,0.00
2/15/20,0,0.00
2/16/20,0,0.00
2/17/20,0,0.00
2/18/20,0,0.00
2/19/20,0,0.00
2/20/20,0,0.00
2/21/20,0,0.00
2/22/20,0,0.00
2/23/20,0,0.00
2/24/20,0,0.00
2/25/20,0,0.00
2/26/20,2,0.09
2/27/20,0,0.00
2/28/20,2,0.09
2/29/20,1,0.04
3/1/20,3,0.13
3/2/20,2,0.09
3/3/20,3,0.13
3/4/20,2,0.09
3/5/20,4,0.18
3/6/20,6,0.27
3/7/20,0,0.00
3/8/20,5,0.22
3/9/20,3,0.13
3/10/20,2,0.09
3/11/20,2,0.09
3/12/20,4,0.18
3/13/20,3,0.13
3/14/20,4,0.18
3/15/20,4,0.18
3/16/20,6,0.27
3/17/20,7,0.31
3/18/20,4,0.18
3/19/20,5,0.22
3/20/20,7,0.31
3/21/20,4,0.18
3/22/20,14,0.63
3/23/20,9,0.40
3/24/20,9,0.40
3/25/20,9,0.40
3/26/20,15,0.67
3/27/20,9,0.40
3/28/20,14,0.63
3/29/20,8,0.36
3/30/20,4,0.18
3/31/20,5,0.22
4/1/20,12,0.54
4/2/20,11,0.49
4/3/20,13,0.58
4/4/20,12,0.54
4/5/20,16,0.72
4/6/20,13,0.58
4/7/20,15,0.67
4/8/20,10,0.45
4/9/20,7,0.31
4/10/20,12,0.54
4/11/20,11,0.49
4/12/20,5,0.22
4/13/20,8,0.36
4/14/20,5,0.22
4/15/20,5,0.22
4/16/20,12,0.54
4/17/20,7,0.31
4/18/20,11,0.49
4/19/20,12,0.54
4/20/20,6,0.27
4/21/20,14,0.63
4/22/20,5,0.22
4/23/20,5,0.22
4/24/20,8,0.36
4/25/20,10,0.45
4/26/20,9,0.40
4/27/20,6,0.27
4/28/20,5,0.22
4/29/20,6,0.27
4/30/20,4,0.18
5/1/20,7,0.31
5/2/20,4,0.18
5/3/20,4,0.18
5/4/20,7,0.31
5/5/20,4,0.18
5/6/20,5,0.22
5/7/20,5,0.22
5/8/20,6,0.27
5/9/20,4,0.18
5/10/20,10,0.45
5/11/20,2,0.09
5/12/20,3,0.13
5/13/20,1,0.04
5/14/20,3,0.13
5/15/20,1,0.04
5/16/20,4,0.18
5/17/20,4,0.18
5/18/20,1,0.04
5/19/20,4,0.18
5/20/20,3,0.13
5/21/20,3,0.13
5/22/20,2,0.09
5/23/20,4,0.18
5/24/20,3,0.13
5/25/20,3,0.13
5/26/20,1,0.04
5/27/20,6,0.27
5/28/20,1,0.04
5/29/20,3,0.13
5/30/20,1,0.04
5/31/20,2,0.09
6/1/20,2,0.09
6/2/20,2,0.09
6/3/20,1,0.04
6/4/20,3,0.13
6/5/20,1,0.04
6/6/20,1,0.04
6/7/20,3,0.13
6/8/20,2,0.09
6/9/20,1,0.04
6/10/20,0,0.00
6/11/20,5,0.22
6/12/20,3,0.13
6/13/20,1,0.04
6/14/20,1,0.04
6/15/20,0,0.00
6/16/20,1,0.04
6/17/20,0,0.00
6/18/20,1,0.04
6/19/20,0,0.00
6/20/20,1,0.04
6/21/20,2,0.09
6/22/20,0,0.00
6/23/20,3,0.13
6/24/20,0,0.00
6/25/20,2,0.09
6/26/20,1,0.04
6/27/20,1,0.04
6/28/20,0,0.00
6/29/20,0,0.00
6/30/20,0,0.00
7/1/20,2,0.09
7/2/20,2,0.09
7/3/20,3,0.13
7/4/20,0,0.00
7/5/20,1,0.04
7/6/20,2,0.09
7/7/20,2,0.09
7/8/20,2,0.09
7/9/20,5,0.22
7/10/20,1,0.04
7/11/20,0,0.00
7/12/20,0,0.00
7/13/20,1,0.04
7/14/20,2,0.09
7/15/20,1,0.04
7/16/20,0,0.00
7/17/20,0,0.00
7/18/20,2,0.09
7/19/20,2,0.09
7/20/20,2,0.09
7/21/20,1,0.04
7/22/20,2,0.09
7/23/20,1,0.04
7/24/20,1,0.04
7/25/20,1,0.04
7/26/20,2,0.09
7/27/20,1,0.04
7/28/20,2,0.09
7/29/20,3,0.13
7/30/20,2,0.09
7/31/20,5,0.22
8/1/20,3,0.13
8/2/20,1,0.04
8/3/20,3,0.13
8/4/20,6,0.27
8/5/20,3,0.13
8/6/20,1,0.04
8/7/20,7,0.31
8/8/20,2,0.09
8/9/20,2,0.09
8/10/20,2,0.09
8/11/20,0,0.00
8/12/20,4,0.18
8/13/20,2,0.09
8/14/20,4,0.18
8/15/20,2,0.09
8/16/20,2,0.09
8/17/20,2,0.09
8/18/20,4,0.18
8/19/20,2,0.09
8/20/20,0,0.00
8/21/20,1,0.04
8/22/20,2,0.09
8/23/20,0,0.00
8/24/20,0,0.00
8/25/20,2,0.09
8/26/20,4,0.18
8/27/20,0,0.00
8/28/20,1,0.04
8/29/20,0,0.00
8/30/20,1,0.04
8/31/20,3,0.13
9/1/20,0,0.00
9/2/20,2,0.09
9/3/20,2,0.09
