Admission_Date,Hospitalizations,Hospitalization_Rate
2/1/20,1,0.04
2/2/20,0,0.00
2/3/20,0,0.00
2/4/20,0,0.00
2/5/20,0,0.00
2/6/20,0,0.00
2/7/20,0,0.00
2/8/20,2,0.09
2/9/20,0,0.00
2/10/20,0,0.00
2/11/20,3,0.13
2/12/20,1,0.04
2/13/20,0,0.00
2/14/20,0,0.00
2/15/20,2,0.09
2/16/20,0,0.00
2/17/20,1,0.04
2/18/20,1,0.04
2/19/20,3,0.13
2/20/20,3,0.13
2/21/20,4,0.18
2/22/20,4,0.18
2/23/20,2,0.09
2/24/20,5,0.22
2/25/20,1,0.04
2/26/20,1,0.04
2/27/20,10,0.45
2/28/20,8,0.36
2/29/20,4,0.18
3/1/20,3,0.13
3/2/20,14,0.63
3/3/20,12,0.54
3/4/20,11,0.49
3/5/20,21,0.94
3/6/20,15,0.67
3/7/20,11,0.49
3/8/20,14,0.63
3/9/20,14,0.63
3/10/20,21,0.94
3/11/20,17,0.76
3/12/20,26,1.17
3/13/20,13,0.58
3/14/20,16,0.72
3/15/20,13,0.58
3/16/20,23,1.03
3/17/20,19,0.85
3/18/20,14,0.63
3/19/20,27,1.21
3/20/20,23,1.03
3/21/20,24,1.08
3/22/20,21,0.94
3/23/20,43,1.93
3/24/20,26,1.17
3/25/20,35,1.57
3/26/20,28,1.26
3/27/20,35,1.57
3/28/20,40,1.80
3/29/20,38,1.71
3/30/20,38,1.71
3/31/20,37,1.66
4/1/20,38,1.71
4/2/20,41,1.84
4/3/20,47,2.11
4/4/20,26,1.17
4/5/20,32,1.44
4/6/20,24,1.08
4/7/20,30,1.35
4/8/20,22,0.99
4/9/20,30,1.35
4/10/20,31,1.39
4/11/20,24,1.08
4/12/20,17,0.76
4/13/20,16,0.72
4/14/20,18,0.81
4/15/20,23,1.03
4/16/20,25,1.12
4/17/20,23,1.03
4/18/20,20,0.90
4/19/20,20,0.90
4/20/20,17,0.76
4/21/20,21,0.94
4/22/20,21,0.94
4/23/20,13,0.58
4/24/20,13,0.58
